online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,37539
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,33429
FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,38859
TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,42105
FALSE,Approved,,,,,1942.61,,
FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,36833
FALSE,Cancelled,Giant Bicycles,Standard,high,medium,1179,$707.40,36833
FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,42560
FALSE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,37499
FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064
TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41047
FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,33259
TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,38693
TRUE,Approved,Solex,Road,medium,medium,416.98,$312.74,35560
TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29",37838
FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079
TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,34586
FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,37698
FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",36833
TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,40784
TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,42404
TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",37873
TRUE,Approved,Solex,Standard,high,medium,748.17,$448.90,42105
TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,39915
FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41345
FALSE,Approved,,,,,1656.86,,
FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,42105
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,42226
FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378
TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,38573
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
FALSE,Approved,Solex,Standard,medium,large,202.62,$151.96,38002
,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,37838
FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364
TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,33259
FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364
FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,34586
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42696
TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,37873
FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707
FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143
TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303
FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,40670
FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",41345
FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064
TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996
FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,38193
TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378
TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873
TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167
TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,34143
TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,40672
TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,39526
TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,39880
FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,40553
FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429
TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,36334
TRUE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071
FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,34143
TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,39031
FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429
TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295
FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38573
FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434
FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",41009
FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37626
TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,33879
TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,38647
FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226
TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41009
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226
TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,38193
FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,37823
FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,40487
TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41345
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
TRUE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",40649
FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,40487
TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",34079
TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38482
TRUE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,41345
TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784
TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,41434
TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
FALSE,Approved,Solex,Standard,high,medium,748.17,$448.90,36361
FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,33259
TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996
FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",37698
TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,34244
FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,34586
TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42145
FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33552
TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626
FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,36146
TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,36146
TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115
TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",40336
FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,42172
TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,39880
FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,34143
TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
FALSE,Cancelled,WeareA2B,Standard,medium,medium,1762.96,$950.52,35470
,Approved,Solex,Standard,medium,medium,1483.2,$99.59,42145
FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,41533
FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,40487
FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,36334
TRUE,Cancelled,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,40618
FALSE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,42145
TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,40618
FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,39880
FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
TRUE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,36668
FALSE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,34170
FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303
TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,41922
FALSE,Approved,OHM Cycles,Standard,medium,medium,1636.9,$44.71,40410
TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,41345
FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,38573
FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002
FALSE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,35470
TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,41701
TRUE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922
FALSE,Approved,Solex,Standard,medium,medium,575.27,$431.45,34244
FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,36145
FALSE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,33549
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,42458
FALSE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,38258
FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586
TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,41064
TRUE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,34170
TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064
TRUE,Approved,Solex,Standard,low,medium,945.04,$507.58,38750
FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,34586
TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,34170
FALSE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,40672
FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",42172
FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,39298
TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873
TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,39298
TRUE,Approved,Solex,Standard,medium,medium,100.35,$75.26,37874
TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,41345
TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378
FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,42560
TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38216
,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,35455
TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",36498
FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,42560
FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",42295
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
FALSE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,38258
FALSE,Approved,OHM Cycles,Standard,medium,medium,1636.9,$44.71,40410
FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,38193
FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
FALSE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,36498
TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,39298
TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,37823
FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,42105
TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,36367
TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,33888
TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,37499
TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693
FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,39526
FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
FALSE,Approved,OHM Cycles,Standard,medium,medium,1636.9,$44.71,40410
TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,33879
FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,34143
TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,33364
TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,41167
FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429
TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",38859
TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,$829.51,37220
FALSE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,36361
FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43,37874
TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,37823
,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,41533
TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37698
TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,37499
FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,38573
FALSE,Approved,Solex,Road,medium,large,1777.8,$820.78,40670
,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429
FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586
FALSE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
TRUE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364
TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
FALSE,Approved,Solex,Standard,medium,large,1061.56,$733.58,34170
FALSE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,35052
TRUE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226
FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533
TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,34115
TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145
FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549
TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,37499
TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
